,date,team1,team1_score,team2,team2_score,winner,map
710,2022-01-23 22:10,Party Astronauts,16,ATK,12,Party Astronauts,Inferno
711,2022-02-02 02:00,Party Astronauts,19,ChocoCheck,17,Party Astronauts,Inferno
712,2022-01-27 02:00,Party Astronauts,16,Disconnected,3,Party Astronauts,Mirage
713,2021-12-16 02:00,Party Astronauts,4,Extra Salt,16,Extra Salt,Ancient
714,2021-12-17 02:00,Party Astronauts,12,paiN,16,paiN,Nuke
715,2022-01-17 00:40,Party Astronauts,16,RBG,14,Party Astronauts,Inferno
716,2022-01-16 22:00,Party Astronauts,16,Strife,14,Party Astronauts,Mirage
717,2021-12-15 02:00,Triumph,10,Party Astronauts,16,Party Astronauts,Inferno
718,2022-01-22 20:10,Party Astronauts,16,Villainous,6,Party Astronauts,Dust2
719,2022-01-24 00:45,Party Astronauts,16,Villainous,8,Party Astronauts,Mirage
720,2022-01-22 21:30,ATK,10,Paying Myself,16,Paying Myself,Mirage
721,2022-01-22 20:10,RBG,14,Paying Myself,16,Paying Myself,Inferno
722,2022-01-23 22:10,Paying Myself,7,Villainous,16,Villainous,Mirage
723,2022-01-27 19:30,Protos,6,Undefeated,16,Undefeated,Inferno
724,2022-01-27 19:30,Protos,19,Undefeated,15,Protos,Dust2
725,2022-01-27 19:30,Protos,16,Undefeated,5,Protos,Mirage
726,2022-01-22 22:50,ATK,16,RBG,9,ATK,Inferno
727,2021-12-17 02:00,RBG,7,Bad News Bears,16,Bad News Bears,Dust2
728,2022-01-02 23:40,ChocoCheck,19,RBG,16,ChocoCheck,Mirage
729,2021-12-16 02:00,RBG,11,ChocoCheck,16,ChocoCheck,Mirage
730,2022-01-30 22:00,ChocoCheck,16,RBG,10,ChocoCheck,Mirage
731,2022-01-02 20:00,RBG,15,ONET4P,19,ONET4P,Mirage
732,2022-01-16 22:00,RBG,16,ONET4P,4,RBG,Mirage
733,2021-12-18 02:00,paiN,16,RBG,9,paiN,Nuke
734,2021-12-15 02:00,paiN,14,RBG,16,RBG,Vertigo
735,2021-12-15 02:00,paiN,7,RBG,16,RBG,Nuke
736,2021-12-18 02:00,paiN,16,RBG,9,paiN,Overpass
737,2022-01-17 00:40,Party Astronauts,16,RBG,6,Party Astronauts,Nuke
738,2022-01-26 02:00,Third Impact,11,RBG,16,RBG,Inferno
739,2022-01-22 21:30,X13,13,RBG,16,RBG,Overpass
740,2022-01-13 02:00,Redragon,16,ELEVATE,8,Redragon,Inferno
741,2022-01-12 01:00,Stars Horizon,11,Redragon,16,Redragon,Vertigo
742,2022-01-16 23:00,Redragon,16,SWS,19,SWS,Vertigo
743,2022-01-16 23:00,Redragon,6,SWS,16,SWS,Inferno
744,2022-01-14 22:00,SWS,5,Redragon,16,Redragon,Vertigo
745,2022-01-14 22:00,SWS,14,Redragon,16,Redragon,Inferno
746,2022-02-01 22:10,Redragon,9,SWS,16,SWS,Inferno
747,2022-01-03 06:00,Renewal,16,Checkmate,7,Renewal,Nuke
748,2022-01-03 06:00,Renewal,13,Checkmate,16,Checkmate,Inferno
749,2022-01-02 10:40,Steel Helmet,12,Renewal,16,Renewal,Mirage
750,2022-01-23 17:30,RIP Kobe,16,all aim no name,19,all aim no name,Nuke
751,2022-01-15 15:10,B8,16,Run or Die,10,B8,Nuke
752,2022-01-15 15:10,B8,14,Run or Die,16,Run or Die,Mirage
753,2022-01-09 12:10,Run or Die,16,Doge Soldiers,10,Run or Die,Dust2
754,2022-01-09 12:10,Run or Die,16,Doge Soldiers,11,Run or Die,Vertigo
755,2022-01-16 12:05,EC Kyiv,6,Run or Die,16,Run or Die,Inferno
756,2022-01-20 17:50,Young Ninjas,19,Sangal,17,Young Ninjas,Overpass
757,2022-01-20 17:50,Young Ninjas,16,Sangal,8,Young Ninjas,Inferno
758,2022-01-20 19:00,AGO,13,Savage,16,Savage,Vertigo
759,2022-01-18 18:00,Savage,14,GamerLegion,16,GamerLegion,Overpass
760,2022-01-18 18:00,Savage,19,GamerLegion,16,Savage,Ancient
761,2022-01-20 15:15,Savage,16,GMT,10,Savage,Mirage
762,2022-01-17 12:00,Savage,16,MASONIC,6,Savage,Ancient
763,2022-01-24 15:30,MOUZ NXT,16,Savage,6,MOUZ NXT,Mirage
764,2022-02-01 09:50,Nemiga,16,Savage,14,Nemiga,Inferno
765,2022-02-01 09:50,Nemiga,16,Savage,14,Nemiga,Vertigo
766,2022-01-19 18:10,Savage,16,SAW,3,Savage,Vertigo
767,2022-01-26 09:00,SAW,16,Savage,8,SAW,Dust2
768,2022-01-25 12:00,Sprout,16,Savage,9,Sprout,Dust2
769,2022-01-26 18:00,Unique,12,Savage,16,Savage,Ancient
770,2022-01-26 18:00,Unique,4,Savage,16,Savage,Inferno
771,2021-12-18 19:15,SAW,11,1shot,16,1shot,Nuke
772,2022-01-25 09:00,1WIN,16,SAW,8,1WIN,Dust2
773,2022-01-24 18:20,Dignitas,16,SAW,12,Dignitas,Nuke
