,team,Player,K,A,D,KAST,ADR,Rating,Best Rating,Most Kills,Most Damage,Most Assists,Most AWP Kills,Most First Kills
950,G2,AMANEK,24,3,19,58.6%,79.4,1.13,,24,,,13,
951,Gambit,Ax1Le,19,6,18,79.3%,84.7,1.28,,,,,,
952,Vitality,ZywOo,19,7,20,64.3%,79.4,1.03,,,,6,3,
953,voLante,garret,29,5,19,80.0%,93.8,1.33,,29,,,,
954,ONET4P,Fr3nk1e,26,2,16,74.1%,92.6,1.46,1.46,26,,,,5
955,voLante,taiwi,31,5,18,79.3%,99.0,1.47,1.47,31,99.0,,,
956,voLante,garret,24,6,18,66.7%,107.5,1.33,,24,107.5,,,
957,Eternal Fire Academy,fola,25,1,16,67.9%,78.4,1.29,1.29,25,,,,
958,Eternal Fire Academy,duggyversus,34,8,28,75.6%,85.3,1.20,,,,,,6
959,FURIA Academy,kauez,29,5,19,63.3%,98.0,1.42,1.42,29,98.0,,,
960,FURIA Academy,decenty,20,2,17,73.3%,72.6,1.11,,,,,,
961,FURIA Academy,kauez,17,1,18,45.5%,85.2,1.05,,,,,,
962,VP.Prodigy,delus1onn,15,5,16,60.9%,72.5,0.95,,,,,,
963,Spirit Academy,ArtFr0st,27,3,10,76.9%,86.7,1.70,1.70,27,,,17,
964,Spirit Academy,ArtFr0st,27,3,10,76.9%,86.7,1.70,1.70,27,,,17,
965,Spirit Academy,S0tF1k,26,6,16,79.2%,114.1,1.58,1.58,26,114.1,6,,
966,777,mikki,22,4,17,70.0%,64.3,1.17,,,,,,
967,777,mikki,12,3,16,57.1%,61.9,0.80,,,,,,
968,AGO,mwlky,9,0,19,35.0%,66.7,0.62,,,,,,
969,Apeks,jkaem,18,2,18,61.9%,95.1,1.12,,,,,,
970,BLINK,juanflatroo,14,2,18,54.5%,82.7,0.93,,,,,,
971,Wisla Krakow,snatchie,26,4,16,70.0%,91.7,1.44,1.44,26,91.7,,16,7
972,Wisla Krakow,snatchie,25,5,10,95.2%,121.6,1.97,1.97,25,121.6,5,14,6
973,Wisla Krakow,Sobol,19,5,14,83.3%,78.4,1.22,,,,,,
974,Wisla Krakow,snatchie,26,6,23,66.7%,81.0,1.35,1.35,,,,21,12
975,Wisla Krakow,Sobol,23,3,12,73.1%,91.8,1.46,1.46,,91.8,,,
976,FURIA,drop,21,3,19,66.7%,90.2,1.13,,,,,,
977,Wisla Krakow,Goofy,25,4,8,84.2%,118.7,1.93,1.93,25,118.7,,,
978,LookingForOrg,EspiranTo,19,2,19,82.6%,100.8,1.21,,,,,,
979,SINNERS,SHOCK,27,3,14,72.4%,93.2,1.52,1.52,27,93.2,,,
980,Wisla Krakow,snatchie,23,2,16,77.8%,98.8,1.45,1.45,,98.8,,17,7
981,Tricked,larsen,28,3,12,82.4%,79.4,1.43,1.43,,,,23,
982,Wisla Krakow,Sobol,31,1,13,81.5%,104.7,1.68,1.68,31,104.7,,,
983,ATK,Fadey,26,4,15,73.9%,115.7,1.63,1.63,26,115.7,,,3
984,Detonate,Ghostii,25,6,17,76.0%,113.4,1.57,1.57,25,113.4,,,
985,MIBR,JOTA,18,1,7,88.9%,95.6,1.86,1.86,,,,,
986,Third Impact,Danejoris,23,6,19,77.8%,108.6,1.36,,,,,,
987,Third Impact,JoJo,15,6,18,52.2%,76.4,0.91,,,,,,
988,X13,aris,24,4,19,67.9%,100.2,1.28,1.28,24,100.2,,,4
989,X13,Makzwell,17,5,17,58.3%,77.0,1.02,,,,,5,
990,voLante,GRAHAM,18,4,20,70.8%,82.6,1.06,,,,,,
991,Astralis Talent,vigg0,20,8,21,70.0%,92.0,1.20,,,,,,
992,Young Ninjas,phzy,21,7,22,75.0%,75.6,1.02,,,,,11,
993,Young Ninjas,Sapec,21,9,22,80.0%,99.9,1.21,,,99.9,,,
994,Young Ninjas,Sapec,19,2,17,65.2%,79.5,1.08,,,,,,
995,fnatic Rising,Peppzor,20,2,21,70.4%,75.8,1.08,,,,,,
996,LPSP,NaToSaphiX,24,4,12,84.6%,93.4,1.60,1.60,24,93.4,,8,
997,Young Ninjas,Ro1f,32,0,21,85.3%,91.2,1.39,1.39,32,,,,
998,Young Ninjas,Jackinho,18,5,21,66.7%,80.3,1.11,,,,,,7
